species,state,year,samplesize,presence,Rocky_mtns
Black-throated Gray Warbler,AK,2016,18081,8.68E-05,West
Black-throated Gray Warbler,AL,2015,11855,0.000525356,East
Black-throated Gray Warbler,AZ,2008,10302,0.051727672,West
Black-throated Gray Warbler,AZ,2009,15700,0.065955701,West
Black-throated Gray Warbler,AZ,2010,23071,0.046085817,West
Black-throated Gray Warbler,AZ,2011,28719,0.051800346,West
Black-throated Gray Warbler,AZ,2012,34581,0.043792053,West
Black-throated Gray Warbler,AZ,2013,48887,0.048680608,West
Black-throated Gray Warbler,AZ,2014,59971,0.054740374,West
Black-throated Gray Warbler,AZ,2015,62682,0.058783357,West
Black-throated Gray Warbler,AZ,2016,72072,0.05080371,West
Black-throated Gray Warbler,AZ,2017,87167,0.046344292,West
Black-throated Gray Warbler,AZ,2018,21989,0.004100777,West
Black-throated Gray Warbler,CA,2008,32177,0.034860956,West
Black-throated Gray Warbler,CA,2009,49873,0.031900089,West
Black-throated Gray Warbler,CA,2010,80572,0.02430319,West
Black-throated Gray Warbler,CA,2011,100526,0.022794569,West
Black-throated Gray Warbler,CA,2012,133433,0.021766655,West
Black-throated Gray Warbler,CA,2013,178247,0.024400414,West
Black-throated Gray Warbler,CA,2014,195349,0.027648547,West
Black-throated Gray Warbler,CA,2015,213403,0.027130979,West
Black-throated Gray Warbler,CA,2016,226971,0.024485968,West
Black-throated Gray Warbler,CA,2017,267573,0.025449743,West
Black-throated Gray Warbler,CA,2018,70682,0.00111513,West
Black-throated Gray Warbler,CO,2008,9653,0.003146625,East
Black-throated Gray Warbler,CO,2009,11232,0.002506036,East
Black-throated Gray Warbler,CO,2010,13779,0.002152227,East
Black-throated Gray Warbler,CO,2011,18720,0.003663739,East
Black-throated Gray Warbler,CO,2012,26907,0.002587431,East
Black-throated Gray Warbler,CO,2013,36307,0.002815785,East
Black-throated Gray Warbler,CO,2014,55577,0.003440416,East
Black-throated Gray Warbler,CO,2015,60274,0.003438963,East
Black-throated Gray Warbler,CO,2016,71132,0.002676349,East
Black-throated Gray Warbler,CO,2017,89985,0.002675829,East
