,Date,X,Site_Code,ID.x,Month,Pool,Gear_Type,SiteName,SiteType,Set.Time,Pull.Time,Start.Easting,Start.Northing,Stop.Easting,Stop.Northing,Depth,DO,Conductivity,Specific.Conductivity,Temperature,Turbidity,Cover,Location,Wind,Weather,Notes,Preservative,ElapsedTime.minutes.,Start.Flow,Stop.Flow,Flow,Year,ID.y,Fish_Code,Family,Length,Comments,Well_ID,Age,Growth_Rate,Hatch_Date,Hatch_Month,Stage
1,5/29/2018,169,BTR052918.06,1203,May,17,Light Trap,Coolegar 6,Backwater,00-Jan-00,00-Jan-00,657898,4571594,NA,NA,95,3,0.3843,0.3639,27.9,7.09,Woody,Shore,Calm,Clear,,NA,70,0,0,0,2018,313,MIS304,Percidae,8.8,,4B4,15,1.704545455,5/14/2018,14-May,11.49
2,5/29/2018,170,BTR052918.06,1203,May,17,Light Trap,Coolegar 6,Backwater,00-Jan-00,00-Jan-00,657898,4571594,NA,NA,95,3,0.3843,0.3639,27.9,7.09,Woody,Shore,Calm,Clear,,NA,70,0,0,0,2018,300,MIS291,Centrarchidae,5.2,,4A3,16,3.076923077,5/13/2018,13-May,11.49
3,5/29/2018,168,BTR052918.05,1202,May,17,Light Trap,Coolegar 5,Backwater,00-Jan-00,00-Jan-00,657788,4571181,NA,NA,102,5.8,0.3781,0.3533,28.7,8.72,Woody,Open,Calm,Clear,,NA,82,0,0,0,2018,631,MIS622,Centrarchidae,6.2,,7D10,21,3.387096774,5/8/2018,8-May,11.49
4,5/29/2018,160,BTR052918.05,1202,May,17,Light Trap,Coolegar 5,Backwater,00-Jan-00,00-Jan-00,657788,4571181,NA,NA,102,5.8,0.3781,0.3533,28.7,8.72,Woody,Open,Calm,Clear,,NA,82,0,0,0,2018,635,MIS626,Percidae,9.7,,7.00E+02,19,1.958762887,5/10/2018,10-May,11.49
5,5/29/2018,161,BTR052918.05,1202,May,17,Light Trap,Coolegar 5,Backwater,00-Jan-00,00-Jan-00,657788,4571181,NA,NA,102,5.8,0.3781,0.3533,28.7,8.72,Woody,Open,Calm,Clear,,NA,82,0,0,0,2018,633,MIS624,Percidae,7.3,,7D12,15,2.054794521,5/14/2018,14-May,11.49
6,5/29/2018,162,BTR052918.05,1202,May,17,Light Trap,Coolegar 5,Backwater,00-Jan-00,00-Jan-00,657788,4571181,NA,NA,102,5.8,0.3781,0.3533,28.7,8.72,Woody,Open,Calm,Clear,,NA,82,0,0,0,2018,630,MIS621,Centrarchidae,6.7,,7D9,11,1.641791045,5/18/2018,18-May,11.49
7,5/29/2018,163,BTR052918.05,1202,May,17,Light Trap,Coolegar 5,Backwater,00-Jan-00,00-Jan-00,657788,4571181,NA,NA,102,5.8,0.3781,0.3533,28.7,8.72,Woody,Open,Calm,Clear,,NA,82,0,0,0,2018,636,MIS627,Percidae,9.2,,7.00E+03,15,1.630434783,5/14/2018,14-May,11.49
8,5/29/2018,164,BTR052918.05,1202,May,17,Light Trap,Coolegar 5,Backwater,00-Jan-00,00-Jan-00,657788,4571181,NA,NA,102,5.8,0.3781,0.3533,28.7,8.72,Woody,Open,Calm,Clear,,NA,82,0,0,0,2018,634,MIS625,Percidae,8.5,,7.00E+01,18,2.117647059,5/11/2018,11-May,11.49
9,5/29/2018,165,BTR052918.05,1202,May,17,Light Trap,Coolegar 5,Backwater,00-Jan-00,00-Jan-00,657788,4571181,NA,NA,102,5.8,0.3781,0.3533,28.7,8.72,Woody,Open,Calm,Clear,,NA,82,0,0,0,2018,629,MIS620,Centrarchidae,5.8,,7D8,16,2.75862069,5/13/2018,13-May,11.49
10,5/29/2018,166,BTR052918.05,1202,May,17,Light Trap,Coolegar 5,Backwater,00-Jan-00,00-Jan-00,657788,4571181,NA,NA,102,5.8,0.3781,0.3533,28.7,8.72,Woody,Open,Calm,Clear,,NA,82,0,0,0,2018,632,MIS623,Percidae,8.7,,7D11,17,1.954022989,5/12/2018,12-May,11.49
